t    x     y    deg 
0.000   0.00   0.00   0.00 
0.002   0.00   0.00   0.00 
0.202   0.00   0.00   0.00 
0.402   0.00   0.00   0.00 
0.602   0.00   0.00   0.00 
0.802   0.00   0.00   0.00 
1.002   0.00   0.00   0.00 
1.202   0.00   0.00   0.00 
1.402   0.00   0.00   0.00 
1.602   0.00   0.00   0.00 
1.802   0.00   0.00   0.00 
2.002   0.00   0.00   0.00 
2.202   0.00   0.00   0.00 
2.402   0.00   0.00   0.00 
2.602   0.00   0.00   0.00 
2.802   0.00   0.00   0.00 
3.002   0.00   0.00   0.00 
3.202   0.00   0.00   0.00 
3.402   0.00   0.00   0.00 
3.602   0.00   0.00   0.00 
3.802   0.00   0.00   0.00 
4.002   0.00   0.00   0.00 
4.202   0.00   0.00   0.00 
4.402   0.00   0.00   0.00 
4.602   0.00   0.00   0.00 
4.802   0.00   0.00   0.00 
5.002   0.00   0.00   0.00 
5.202   0.00   0.00   0.00 
5.402   0.00   0.00   0.00 
5.602   0.00   0.00   0.00 
5.802   0.00   0.00   0.00 
6.002   0.00   0.00   0.00 
6.202   0.00   0.00   0.00 
6.402   0.00   0.00   0.00 
6.602   0.00   0.00   0.00 
6.802   0.00   0.00   0.00 
7.002   0.00   0.00   0.00 
7.202   0.00   0.00   0.00 
7.402   0.00   0.00   0.00 
7.602   0.00   0.00   0.00 
7.802   0.00   0.00   0.00 
8.002   0.00   0.00   0.00 
8.202   0.00   0.00   0.00 
8.402   0.00   0.00   0.00 
8.602   0.00   0.00   0.00 
8.802   0.00   0.00   0.00 
9.002   0.00   0.00   0.00 
9.202   0.00   0.00   0.00 
9.402   0.00   0.00   0.00 
9.602   0.00   0.00   0.00 
9.802   0.00   0.00   0.00 
10.002   0.00   0.00   0.00 
10.202   0.00   0.00   0.00 
10.402   0.00   0.00   0.00 
10.602   0.00   0.00   0.00 
10.802   0.00   0.00   0.00 
11.002   0.00   0.00   0.00 
11.202   0.00   0.00   0.00 
11.402   0.00   0.00   0.00 
11.602   0.00   0.00   0.00 
11.802   0.00   0.00   0.00 
12.002   0.00   0.00   0.00 
12.202   0.00   0.00   0.00 
12.402   0.00   0.00   0.00 
12.602   0.00   0.00   0.00 
12.802   0.00   0.00   0.00 
13.002   0.00   0.00   0.00 
13.202   0.00   0.00   0.00 
13.402   0.00   0.00   0.00 
13.602   0.00   0.00   0.00 
13.802   0.00   0.00   0.00 
14.002   0.00   0.00   0.00 
14.202   0.00   0.00   0.00 
14.402   0.00   0.00   0.00 
14.602   0.00   0.00   0.00 
14.802   0.00   0.00   0.00 
15.002   0.00   0.00   0.00 
15.202   0.00   0.00   0.00 
15.402   0.00   0.00   0.00 
15.602   0.00   0.00   0.00 
15.802   0.00   0.00   0.00 
16.002   0.00   0.00   0.00 
16.202   0.00   0.00   0.00 
16.402   0.00   0.00   0.00 
16.602   0.00   0.00   0.00 
16.802   0.00   0.00   0.00 
17.002   0.00   0.00   0.00 
17.202   0.00   0.00   0.00 
17.402   0.00   0.00   0.00 
17.602   0.00   0.00   0.00 
17.802   0.00   0.00   0.00 
18.002   0.00   0.00   0.00 
18.202   0.00   0.00   0.00 
18.402   0.00   0.00   0.00 
18.602   0.00   0.00   0.00 
18.802   0.00   0.00   0.00 
19.002   0.00   0.00   0.00 
19.202   0.00   0.00   0.00 
